W/L,winner,method,Round,Date,Fighter,Opponent,f_SLpM,f_SApM,f_TD_pct,f_W_pct,f_KO_pct,f_Sub_pct,f_Finish_pct,f_ctrl,o_SLpM,o_SApM,o_TD_pct,o_W_pct,o_KO_pct,o_Sub_pct,o_Finish_pct,o_ctrl,f_ELO,o_ELO,f_survivor_score,o_survivor_score
loss,Terry Etim,SUB,1,2011-11-05,Edward Faaloloto,Terry Etim,2.329,6.027,0.5,0.0,0.0,0.0,1.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Michael Johnson,KO/TKO,1,2011-06-26,Edward Faaloloto,Michael Johnson,1.717,6.162,1.0,0.0,0.0,0.0,1.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Anthony Njokuani,KO/TKO,2,2010-11-11,Edward Faaloloto,Anthony Njokuani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Petr Yan,KO/TKO,3,2019-12-14,Urijah Faber,Petr Yan,2.663,2.5,1.267,0.6,0.143,0.619,1.0,30.633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1010.0,1000.0
win,Urijah Faber,KO/TKO,1,2019-07-13,Urijah Faber,Ricky Simon,2.638,2.494,1.31,0.4,0.1,0.65,1.0,31.69,3.2,2.4,14.0,1.0,0.0,0.0,1.0,0.0,1016.0,1000.0,1020.0,1000.0
win,Urijah Faber,DEC,3,2016-12-17,Urijah Faber,Brad Pickett,2.55,2.55,1.179,0.4,0.105,0.684,1.0,32.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,1000.0,1030.0,1000.0
loss,Jimmie Rivera,DEC,3,2016-09-10,Urijah Faber,Jimmie Rivera,2.599,2.503,1.222,0.6,0.105,0.684,1.0,34.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Dominick Cruz,DEC,5,2016-06-04,Urijah Faber,Dominick Cruz,2.7,2.423,1.231,0.6,0.105,0.684,1.0,35.346,3.529,2.028,3.0,0.5,0.0,0.0,1.0,22.5,1055.0,1000.0,1040.0,1000.0
win,Urijah Faber,DEC,3,2015-12-12,Urijah Faber,Frankie Saenz,2.582,2.322,1.2,0.6,0.111,0.722,1.0,36.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1008.0,860.0,1010.0
loss,Frankie Edgar,DEC,5,2015-05-16,Urijah Faber,Frankie Edgar,2.644,2.228,1.25,0.8,0.111,0.722,1.0,38.292,4.6,1.2,10.0,1.0,0.0,0.0,1.0,0.0,1024.0,1000.0,870.0,1000.0
win,Urijah Faber,SUB,2,2014-12-06,Urijah Faber,Francisco Rivera,2.638,2.227,1.304,0.8,0.118,0.706,1.0,39.957,5.464,2.571,2.0,1.0,1.0,0.0,1.0,0.0,1000.0,992.0,1000.0,880.0
win,Urijah Faber,SUB,3,2014-07-05,Urijah Faber,Alex Caceres,2.675,2.246,1.136,0.8,0.125,0.688,1.0,41.773,3.667,2.733,1.0,0.0,0.0,0.0,1.0,0.0,1000.0,992.0,890.0,880.0
loss,Renan Barao,KO/TKO,1,2014-02-01,Urijah Faber,Renan Barao,2.683,2.211,1.19,0.8,0.125,0.688,1.0,43.762,3.4,2.4,0.0,1.0,0.0,0.0,1.0,0.0,1008.0,1000.0,900.0,1000.0
win,Urijah Faber,SUB,2,2013-12-14,Urijah Faber,Michael McDonald,2.656,2.251,1.2,0.8,0.133,0.667,1.0,45.95,3.4,3.0,5.0,1.0,0.0,0.0,1.0,0.0,1048.0,992.0,880.0,1100.0
win,Urijah Faber,DEC,3,2013-08-17,Urijah Faber,Iuri Alcantara,2.592,2.367,1.053,0.6,0.143,0.714,1.0,48.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088.0,992.0,890.0,820.0
win,Urijah Faber,SUB,4,2013-04-13,Urijah Faber,Scott Jorgensen,2.368,2.221,0.889,0.6,0.154,0.692,1.0,51.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156.0,976.0,900.0,820.0
win,Urijah Faber,SUB,1,2013-02-23,Urijah Faber,Ivan Menjivar,2.337,2.257,0.941,0.6,0.167,0.667,1.0,54.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,1000.0,1000.0
loss,Renan Barao,DEC,5,2012-07-21,Urijah Faber,Renan Barao,2.328,2.093,1.0,0.6,0.167,0.667,1.0,57.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,820.0,1000.0
win,Urijah Faber,SUB,2,2011-11-19,Urijah Faber,Brian Bowles,2.203,2.096,1.0,0.6,0.182,0.636,1.0,61.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.0,1000.0,760.0,1000.0
loss,Dominick Cruz,DEC,5,2011-07-02,Urijah Faber,Dominick Cruz,2.239,1.833,1.0,0.6,0.182,0.636,1.0,55.786,2.449,2.449,2.0,0.0,0.0,0.0,1.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Urijah Faber,DEC,3,2011-03-19,Urijah Faber,Eddie Wineland,2.118,1.962,0.923,0.6,0.2,0.7,1.0,36.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,880.0,1000.0
win,Urijah Faber,SUB,1,2010-11-11,Urijah Faber,Takeya Mizugaki,2.112,1.982,1.0,0.4,0.222,0.667,1.0,39.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Jose Aldo,DEC,5,2010-04-24,Urijah Faber,Jose Aldo,2.446,1.702,1.091,0.6,0.222,0.667,1.0,43.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,880.0,1000.0
win,Urijah Faber,SUB,3,2010-01-10,Urijah Faber,Raphael Assuncao,2.515,1.815,1.0,0.6,0.25,0.625,1.0,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Mike Brown,DEC,5,2009-06-07,Urijah Faber,Mike Brown,2.934,1.535,0.889,0.8,0.25,0.625,1.0,52.778,7.972,1.678,0.0,1.0,1.0,0.0,1.0,0.0,1000.0,1000.0,900.0,1000.0
win,Urijah Faber,SUB,1,2009-01-25,Urijah Faber,Jens Pulver,2.945,1.559,0.875,0.8,0.286,0.571,1.0,59.375,1.8,3.8,0.0,0.0,0.0,0.0,1.0,0.0,1008.0,1000.0,1010.0,1000.0
loss,Mike Brown,KO/TKO,1,2008-11-05,Urijah Faber,Mike Brown,2.999,1.283,1.0,1.0,0.286,0.571,1.0,67.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,980.0,1000.0
win,Urijah Faber,DEC,5,2008-06-01,Urijah Faber,Jens Pulver,2.339,0.857,0.5,1.0,0.333,0.667,1.0,79.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Urijah Faber,SUB,2,2007-12-12,Urijah Faber,Jeff Curran,2.743,0.77,0.6,1.0,0.4,0.6,1.0,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1168.6,1000.0,910.0,1000.0
win,Urijah Faber,SUB,1,2007-06-03,Urijah Faber,Chance Farrar,3.746,0.989,1.0,1.0,0.667,0.333,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1010.0,1000.0
win,Urijah Faber,SUB,1,2007-03-24,Urijah Faber,Dominick Cruz,3.915,0.799,1.5,1.0,1.0,0.0,1.0,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1010.0,1000.0
win,Urijah Faber,KO/TKO,1,2007-01-20,Urijah Faber,Joe Pearson,3.7,0.9,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1010.0,1000.0
win,Urijah Faber,KO/TKO,2,2006-03-17,Urijah Faber,Cole Escovedo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.4019999999998,1000.0,910.0,1000.0
loss,Ji Yeon Kim,DEC,3,2018-06-23,Melinda Fabian,Ji Yeon Kim,3.267,3.133,0.0,0.0,0.0,0.0,1.0,591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,1020.0,1000.0
draw,Draw,DEC,3,2017-12-01,Melinda Fabian,DeAnna Bennett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,1020.0,1000.0
loss,Joseph Benavidez,SUB,2,2010-11-11,Wagnney Fabiano,Joseph Benavidez,1.241,0.467,3.2,0.8,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1193.0301399999998,1000.0,1010.0,1000.0
win,Wagnney Fabiano,DEC,3,2010-06-20,Wagnney Fabiano,Frank Gomez,1.425,0.532,2.5,0.75,0.0,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1000.0,1000.0
win,Wagnney Fabiano,DEC,3,2010-01-10,Wagnney Fabiano,Clint Godfrey,1.779,0.562,2.333,0.667,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,1020.0,1000.0
loss,Mackens Semerzier,SUB,1,2009-10-10,Wagnney Fabiano,Mackens Semerzier,1.879,0.57,3.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,1000.0,1030.0,1000.0
win,Wagnney Fabiano,DEC,3,2009-04-05,Wagnney Fabiano,Fredson Paixao,0.743,0.27,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,1010.0,1000.0
win,Wagnney Fabiano,SUB,3,2008-12-03,Wagnney Fabiano,Akitoshi Tamura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1206.5422497999998,1000.0,1020.0,1000.0
loss,Gerald Meerschaert,SUB,1,2021-04-17,Bartosz Fabinski,Gerald Meerschaert,2.196,1.354,4.6,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,992.0,1040.0,820.0
loss,Andre Muniz,SUB,1,2020-09-05,Bartosz Fabinski,Andre Muniz,2.216,1.347,5.5,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Michel Prazeres,SUB,1,2018-11-17,Bartosz Fabinski,Michel Prazeres,2.244,0.978,7.333,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1055.0,1000.0,1040.0,1000.0
win,Bartosz Fabinski,DEC,3,2018-07-22,Bartosz Fabinski,Emil Meek,2.2,0.767,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,830.0,1000.0
win,Bartosz Fabinski,DEC,3,2015-11-21,Bartosz Fabinski,Hector Urbina,2.733,0.867,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060.0,1000.0,1140.0,1000.0
win,Bartosz Fabinski,DEC,3,2015-04-11,Bartosz Fabinski,Garreth McLellan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1192.0842923139999,1039.0,900.0,1010.0
nc,Draw,other,2,2005-10-07,Ron Faircloth,Alessio Sakara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102.0,1000.0,1150.0,1000.0
loss,Guy Mezger,KO/TKO,1,1994-12-16,Jason Fairn,Guy Mezger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094.0,1000.0,1050.0,1000.0
win,Rinat Fakhretdinov,KO/TKO,1,2025-09-06,Rinat Fakhretdinov,Andreas Gustafsson,4.782,3.583,3.333,0.8,0.0,0.2,1.0,32.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1100.0,1000.0
win,Rinat Fakhretdinov,DEC,3,2024-10-26,Rinat Fakhretdinov,Carlos Leal,4.17,2.709,3.6,0.8,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Rinat Fakhretdinov,DEC,3,2024-06-22,Rinat Fakhretdinov,Nicolas Dalby,4.051,2.156,3.25,0.75,0.0,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1109.14,1000.0,1160.0,1000.0
draw,Draw,DEC,3,2023-11-04,Rinat Fakhretdinov,Elizeu Zaleski dos Santos,3.202,0.776,4.0,1.0,0.0,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1116.7798,1000.0,1170.0,1000.0
win,Rinat Fakhretdinov,SUB,1,2023-07-01,Rinat Fakhretdinov,Kevin Lee,2.933,0.7,6.0,1.0,0.0,0.0,1.0,0.0,3.919,3.848,3.0,0.0,0.0,0.0,1.0,0.0,1160.0,1000.0,1060.0,1000.0
win,Rinat Fakhretdinov,DEC,3,2022-12-17,Rinat Fakhretdinov,Bryan Battle,3.0,1.2,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1181.3683918520198,924.0,1000.0,700.0
win,Rinat Fakhretdinov,DEC,3,2022-06-04,Rinat Fakhretdinov,Andreas Michailidis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,1120.0,1000.0
loss,Victor Henry,DEC,3,2025-04-05,Pedro Falcao,Victor Henry,2.905,2.628,2.0,0.5,1.0,0.0,1.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1108.605214,1000.0,1050.0,1000.0
loss,Victor Hugo,DEC,3,2024-04-06,Pedro Falcao,Victor Hugo,3.018,0.575,3.0,1.0,1.0,0.0,1.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1116.2075789799999,1000.0,1060.0,1000.0
win,Pedro Falcao,KO/TKO,3,2021-10-19,Pedro Falcao,James Barnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Joanne Wood,SUB,1,2018-08-25,Kalindra Faria,Joanne Wood,2.123,1.564,0.5,0.0,0.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1220.0,1000.0
loss,Jessica Eye,DEC,3,2018-01-14,Kalindra Faria,Jessica Eye,0.0,1.034,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1148.8,1000.0,930.0,1000.0
loss,Mara Romero Borella,SUB,1,2017-10-07,Kalindra Faria,Mara Romero Borella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1124.3421095085998,1000.0,1070.0,1000.0
loss,Connor Matthews,DEC,3,2023-10-10,Jair Farias,Connor Matthews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1115.6381618429978,1000.0,890.0,1000.0
loss,Micah Miller,KO/TKO,1,2008-02-13,Chance Farrar,Micah Miller,0.302,0.603,1.0,0.0,0.0,0.0,1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1159.216,1000.0,940.0,1000.0
loss,Urijah Faber,SUB,1,2007-06-03,Chance Farrar,Urijah Faber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.746,0.989,1.0,1.0,0.667,0.333,1.0,43.0,1123.7328331720075,1000.0,990.0,1000.0
loss,Daniel Rodriguez,DEC,3,2019-07-30,Rico Farrington,Daniel Rodriguez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Ketlen Vieira,DEC,3,2016-10-01,Kelly Faszholz,Ketlen Vieira,5.095,6.369,0.0,0.0,0.0,0.0,1.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132.394131494048,1000.0,1000.0,1000.0
loss,Lauren Murphy,KO/TKO,3,2016-02-21,Kelly Faszholz,Lauren Murphy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1170.3611199999998,1000.0,950.0,1000.0
loss,Chalid Arrab,DEC,2,2003-10-05,Rodney Faverus,Chalid Arrab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1141.6617206986314,1000.0,1010.0,1000.0
loss,Rafael Dos Anjos,DEC,5,2020-11-14,Paul Felder,Rafael Dos Anjos,3.668,3.404,0.214,0.6,0.444,0.111,1.0,31.214,4.84,7.96,0.0,0.0,0.0,0.0,1.0,0.0,1182.2863983999998,1000.0,980.0,1000.0
loss,Dan Hooker,DEC,5,2020-02-22,Paul Felder,Dan Hooker,3.551,3.167,0.231,0.8,0.444,0.111,1.0,33.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1151.5780411475355,1008.703947665602,1020.0,1010.0
win,Paul Felder,DEC,3,2019-09-07,Paul Felder,Edson Barboza,3.532,3.079,0.25,0.8,0.5,0.125,1.0,36.417,4.585,4.716,1.0,0.5,0.0,0.0,1.0,9.0,1000.0,1000.0,1000.0,1000.0
win,Paul Felder,DEC,3,2019-02-17,Paul Felder,James Vick,3.516,2.962,0.273,0.6,0.571,0.143,1.0,39.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1161.579227691271,1049.71590046198,1030.0,1110.0
loss,Mike Perry,DEC,3,2018-07-07,Paul Felder,Mike Perry,3.487,2.804,0.3,0.8,0.571,0.143,1.0,43.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1195.0464462879997,987.37186,1000.0,1100.0
win,Paul Felder,KO/TKO,2,2017-12-02,Paul Felder,Charles Oliveira,3.494,2.995,0.333,0.8,0.5,0.167,1.0,48.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1010.0,1000.0
win,Paul Felder,KO/TKO,1,2017-07-16,Paul Felder,Stevie Ray,3.4,3.064,0.375,0.6,0.4,0.2,1.0,54.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1209.5836673281597,961.0,1010.0,820.0
win,Paul Felder,KO/TKO,1,2017-02-19,Paul Felder,Alex Ricci,3.326,2.995,0.429,0.4,0.25,0.25,1.0,62.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1169.4096605973214,1000.0,1040.0,1000.0
loss,Francisco Trinaldo,KO/TKO,3,2016-09-24,Paul Felder,Francisco Trinaldo,3.429,3.059,0.5,0.6,0.25,0.25,1.0,72.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,820.0,1000.0
win,Paul Felder,DEC,3,2016-05-29,Paul Felder,Joshua Burkman,3.586,3.148,0.6,0.6,0.333,0.333,1.0,87.4,6.269,1.791,0.0,1.0,0.0,1.0,1.0,7.0,1000.0,1000.0,830.0,1000.0
win,Paul Felder,SUB,3,2016-01-17,Paul Felder,Daron Cruickshank,3.663,3.375,0.25,0.5,0.5,0.0,1.0,109.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1181.2683368391338,1000.0,1050.0,1000.0
loss,Ross Pearson,DEC,3,2015-09-05,Paul Felder,Ross Pearson,3.526,3.069,0.333,0.667,0.5,0.0,1.0,145.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,830.0,1000.0
loss,Edson Barboza,DEC,3,2015-07-25,Paul Felder,Edson Barboza,3.792,2.257,0.5,1.0,0.5,0.0,1.0,218.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Paul Felder,KO/TKO,2,2015-01-03,Paul Felder,Danny Castillo,3.4,1.933,1.0,1.0,0.0,0.0,1.0,437.0,1.533,1.533,2.0,0.0,0.0,0.0,1.0,0.0,1168.5795532603945,990.0836795510958,1150.0,880.0
win,Paul Felder,DEC,3,2014-10-04,Paul Felder,Jason Saggo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,850.0,1000.0
loss,Arisa Matsuda,DEC,3,2025-05-22,Feng Xiaocan,Arisa Matsuda,5.428,1.762,0.667,0.667,0.5,0.0,1.0,18.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1226.984524041131,1000.0,1050.0,1000.0
loss,Shi Ming,KO/TKO,3,2024-11-23,Feng Xiaocan,Shi Ming,6.041,1.114,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1181.0742644200454,1000.0,1250.0,1000.0
win,Feng Xiaocan,DEC,3,2024-08-23,Feng Xiaocan,Miki Motono,19.512,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,860.0,1000.0
win,Feng Xiaocan,KO/TKO,1,2024-05-18,Feng Xiaocan,Kiran Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1242.8734407240102,1000.0,1060.0,1000.0
loss,Matt Mitrione,KO/TKO,2,2010-05-08,Kevin Ferguson,Matt Mitrione,2.937,3.197,1.2,0.8,0.75,0.0,1.0,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Kevin Ferguson,DEC,3,2009-12-05,Kevin Ferguson,Houston Alexander,4.37,3.613,0.5,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1168.3990659106423,1000.0,1350.0,1000.0
loss,Seth Petruzelli,KO/TKO,1,2008-10-04,Kevin Ferguson,Seth Petruzelli,4.457,3.257,0.667,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,870.0,1000.0
win,Kevin Ferguson,KO/TKO,3,2008-05-31,Kevin Ferguson,James Thompson,16.452,1.935,0.0,1.0,1.0,0.0,1.0,0.0,10.966,2.037,2.0,1.0,1.0,0.0,1.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Kevin Ferguson,KO/TKO,1,2008-02-16,Kevin Ferguson,David Abbott,12.632,3.158,0.0,1.0,1.0,0.0,1.0,0.0,3.63,7.046,0.0,0.0,0.0,0.0,1.0,0.0,1180.1870005243873,1014.4579574859999,1360.0,1010.0
win,Kevin Ferguson,KO/TKO,1,2007-11-10,Kevin Ferguson,Bo Cantrell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,1320.0,1000.0
win,Rhadi Ferguson,SUB,2,2011-01-07,Rhadi Ferguson,John Richard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,740.0,1000.0
loss,Michael Chiesa,SUB,1,2024-08-03,Tony Ferguson,Michael Chiesa,4.937,4.414,0.304,0.0,0.333,0.4,1.0,9.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1350.0,1000.0
loss,Paddy Pimblett,DEC,3,2023-12-16,Tony Ferguson,Paddy Pimblett,4.984,4.256,0.318,0.0,0.333,0.4,1.0,10.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1191.7880335370744,1000.0,1370.0,1000.0
loss,King Green,SUB,3,2023-07-29,Tony Ferguson,King Green,5.069,3.947,0.333,0.0,0.333,0.4,1.0,9.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1205.2131958846696,977.5889683914448,1380.0,980.0
loss,Nate Diaz,SUB,4,2022-09-10,Tony Ferguson,Nate Diaz,5.117,3.809,0.3,0.2,0.333,0.4,1.0,10.45,6.953,2.833,2.0,0.0,0.0,0.0,1.0,0.0,1008.0,1000.0,1380.0,1000.0
loss,Michael Chandler,KO/TKO,2,2022-05-07,Tony Ferguson,Michael Chandler,5.15,3.776,0.316,0.4,0.333,0.4,1.0,3.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1259.8745815746909,1000.0,1160.0,1000.0
loss,Beneil Dariush,DEC,3,2021-05-15,Tony Ferguson,Beneil Dariush,5.462,3.945,0.333,0.6,0.333,0.4,1.0,3.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,1000.0,880.0,1000.0
loss,Charles Oliveira,DEC,3,2020-12-12,Tony Ferguson,Charles Oliveira,5.802,4.043,0.353,0.8,0.333,0.4,1.0,3.412,0.659,3.407,2.0,0.0,0.0,0.0,1.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Justin Gaethje,KO/TKO,5,2020-05-09,Tony Ferguson,Justin Gaethje,5.81,3.749,0.375,1.0,0.333,0.4,1.0,3.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Tony Ferguson,KO/TKO,2,2019-06-08,Tony Ferguson,Donald Cerrone,5.506,3.547,0.4,1.0,0.286,0.429,1.0,3.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,770.0,1000.0
win,Tony Ferguson,KO/TKO,2,2018-10-06,Tony Ferguson,Anthony Pettis,5.089,3.48,0.429,1.0,0.231,0.462,1.0,4.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1020.0,1000.0
win,Tony Ferguson,SUB,3,2017-10-07,Tony Ferguson,Kevin Lee,5.226,3.431,0.462,1.0,0.25,0.417,1.0,4.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Tony Ferguson,DEC,5,2016-11-05,Tony Ferguson,Rafael Dos Anjos,4.556,3.086,0.5,1.0,0.273,0.455,1.0,2.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,1400.0,1000.0
win,Tony Ferguson,SUB,2,2016-07-13,Tony Ferguson,Lando Vannata,4.213,2.904,0.545,1.0,0.3,0.4,1.0,2.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.1468918091953,1000.0,1390.0,1000.0
